Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-11-28; 00:37:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 79°; 176°; 86%; 0%; 0%; 0%; 74.1%; 413°; 76°; 75°; 0%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:38:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 79°; 177°; 86%; 0%; 0%; 0%; 74.1%; 413°; 76°; 75°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.53A; 
2024-11-28; 00:39:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 78°; 184°; 86%; 0%; 0%; 0%; 74.1%; 412°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.21A; 
2024-11-28; 00:40:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 77°; 183°; 85%; 0%; 0%; 0%; 74.1%; 412°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:41:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 77°; 184°; 85%; 0%; 0%; 0%; 74.1%; 412°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2024-11-28; 00:42:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 76°; 185°; 85%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:43:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 76°; 187°; 85%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.21A; 
2024-11-28; 00:44:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 76°; 188°; 85%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2024-11-28; 00:45:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 76°; 189°; 85%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 100%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.53A; 
2024-11-28; 00:46:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 75°; 195°; 84%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 38°; 38°; 41°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
