Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-12-14; 00:54:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 160°; 183°; 100%; 39%; 65%; 95%; 84.3%; 428°; 74°; 28°; 63%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.08A; 
2024-12-14; 00:55:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 183°; 100%; 39%; 65%; 95%; 84.2%; 429°; 74°; 28°; 64%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.03A; 
2024-12-14; 00:56:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 183°; 100%; 39%; 65%; 95%; 84.0%; 429°; 74°; 28°; 64%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.01A; 
2024-12-14; 00:57:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 183°; 100%; 39%; 65%; 95%; 83.9%; 429°; 74°; 28°; 64%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.10A; 
2024-12-14; 00:58:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 183°; 100%; 39%; 65%; 95%; 83.7%; 430°; 75°; 28°; 64%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.04A; 
2024-12-14; 00:59:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 183°; 100%; 39%; 65%; 95%; 83.5%; 430°; 75°; 28°; 64%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.78A; 
2024-12-14; 01:00:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 184°; 100%; 38%; 64%; 93%; 83.4%; 430°; 76°; 28°; 64%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-12-14; 01:01:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 184°; 100%; 38%; 64%; 93%; 83.2%; 431°; 76°; 28°; 65%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.44A; 
2024-12-14; 01:02:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 184°; 100%; 39%; 65%; 95%; 83.1%; 431°; 76°; 28°; 65%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.67A; 
2024-12-14; 01:03:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 184°; 100%; 39%; 65%; 95%; 82.9%; 431°; 76°; 28°; 65%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.72A; 
