Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-24; 15:35:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 155°; 91%; 35%; 60%; 87%; 94.4%; 408°; 42°; 29°; 51%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 29°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 3.33A; 
2024-05-24; 15:36:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 152°; 157°; 92%; 35%; 61%; 88%; 94.2%; 409°; 44°; 29°; 52%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 29°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 1.97A; 
2024-05-24; 15:37:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 153°; 158°; 94%; 36%; 62%; 90%; 94.1%; 409°; 46°; 30°; 51%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 29°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 2.23A; 
2024-05-24; 15:38:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 155°; 160°; 95%; 37%; 63%; 91%; 93.9%; 409°; 46°; 30°; 51%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 29°; 80°; 22°; 18%; AUS; OFFEN; TROCKEN; 3.25A; 
2024-05-24; 15:39:57; übergangsbetr.;    Heizen      ; 1; 0; 78°; 155°; 160°; 97%; 37%; 63%; 92%; 93.7%; 409°; 48°; 30°; 57%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 29°; 80°; 22°; 18%; AUS; OFFEN; TROCKEN; 3.01A; 
2024-05-24; 15:40:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 156°; 164°; 100%; 39%; 65%; 95%; 93.6%; 412°; 48°; 30°; 53%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 30°; 80°; 22°; 18%; AUS; OFFEN; TROCKEN; 3.10A; 
2024-05-24; 15:41:57; übergangsbetr.;    Heizen      ; 1; 0; 78°; 156°; 162°; 99%; 38%; 64%; 94%; 93.4%; 412°; 50°; 30°; 59%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 30°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 3.25A; 
2024-05-24; 15:42:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 157°; 163°; 99%; 38%; 64%; 94%; 93.3%; 412°; 50°; 30°; 54%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 30°; 80°; 23°; 16%; AUS; OFFEN; TROCKEN; 2.69A; 
2024-05-24; 15:43:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 157°; 164°; 100%; 39%; 65%; 95%; 93.1%; 412°; 51°; 30°; 56%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 30°; 80°; 23°; 16%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-05-24; 15:44:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 158°; 164°; 100%; 39%; 65%; 95%; 92.9%; 412°; 52°; 30°; 56%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 30°; 80°; 23°; 17%; AUS; OFFEN; TROCKEN; 2.44A; 
