Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-03-04; 00:37:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 26°; 42°; 50°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:38:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 26°; 42°; 38°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:39:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 26°; 42°; 32°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:40:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 26°; 42°; 34°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:41:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 26°; 42°; 42°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-03-04; 00:42:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 26°; 42°; 49°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:43:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 62°; 30°; 0%; -3°; 30°; 27°; 42°; 50°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:44:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 61°; 30°; 0%; -3°; 30°; 28°; 42°; 40°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:45:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 61°; 30°; 0%; -3°; 30°; 28°; 42°; 34°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:46:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 43°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 61°; 30°; 0%; -3°; 30°; 28°; 42°; 34°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-03-04; 00:47:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 42°; 53°; 64%; 0%; 0%; 0%; 100.0%; 403°; 61°; 30°; 0%; -3°; 30°; 29°; 42°; 41°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 00:48:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 42°; 52°; 63%; 0%; 0%; 0%; 100.0%; 403°; 61°; 30°; 0%; -3°; 30°; 30°; 42°; 49°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 00:49:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 47°; 42°; 52°; 63%; 0%; 0%; 0%; 100.0%; 403°; 61°; 30°; 0%; -3°; 30°; 30°; 42°; 50°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 00:50:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 42°; 52°; 63%; 0%; 0%; 0%; 100.0%; 403°; 61°; 30°; 0%; -3°; 30°; 31°; 42°; 39°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
