Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-05; 00:38:34; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 74°; 176°; 83%; 0%; 0%; 0%; 75.5%; 410°; 78°; 72°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:39:34; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 74°; 177°; 83%; 0%; 0%; 0%; 75.5%; 410°; 78°; 72°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.30A; 
2025-01-05; 00:40:34; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 74°; 181°; 83%; 0%; 0%; 0%; 75.5%; 410°; 78°; 71°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
2025-01-05; 00:41:34; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 74°; 181°; 83%; 0%; 0%; 0%; 75.5%; 410°; 78°; 71°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
2025-01-05; 00:42:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 73°; 184°; 83%; 0%; 0%; 0%; 75.5%; 410°; 78°; 70°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.21A; 
2025-01-05; 00:43:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 73°; 186°; 83%; 0%; 0%; 0%; 75.5%; 410°; 78°; 70°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:44:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 73°; 188°; 83%; 0%; 0%; 0%; 75.5%; 410°; 78°; 69°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:45:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 73°; 190°; 83%; 0%; 0%; 0%; 75.5%; 410°; 78°; 69°; 0%; -4°; 31°; 32°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.21A; 
2025-01-05; 00:46:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 72°; 192°; 82%; 0%; 0%; 0%; 75.5%; 410°; 78°; 68°; 0%; -4°; 31°; 31°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.32A; 
2025-01-05; 00:47:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 72°; 193°; 82%; 0%; 0%; 0%; 75.5%; 410°; 78°; 68°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
