Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-06-13; 00:54:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:55:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:56:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:57:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 00:58:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-13; 00:59:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 01:00:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:01:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:02:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:03:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:04:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 01:05:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 01:06:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:07:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:08:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:09:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 01:10:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 01:11:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:12:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 01:13:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
