Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-04-21; 00:47:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 250°; 83%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 00:48:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 250°; 83%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 00:49:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 250°; 83%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:50:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 250°; 83%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:51:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 250°; 83%; 0%; 0%; 0%; 83.3%; 409°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 00:52:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 250°; 83%; 0%; 0%; 0%; 83.3%; 409°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:53:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 250°; 83%; 0%; 0%; 0%; 83.3%; 409°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 00:54:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 250°; 83%; 0%; 0%; 0%; 83.3%; 409°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:55:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 250°; 83%; 0%; 0%; 0%; 83.3%; 409°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:56:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 83.3%; 409°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:57:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 83.3%; 409°; 72°; 71°; 40%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.38A; 
2025-04-21; 00:58:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 72°; 250°; 82%; 0%; 0%; 0%; 83.3%; 409°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:59:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 72°; 250°; 82%; 0%; 0%; 0%; 83.3%; 409°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 01:00:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 71°; 250°; 81%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 01:01:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 71°; 250°; 81%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 01:02:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 70°; 250°; 81%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 01:03:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 70°; 250°; 81%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 01:04:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 70°; 250°; 81%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 01:05:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 70°; 250°; 81%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 01:06:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 70°; 250°; 81%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 01:07:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 70°; 250°; 81%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.38A; 
2025-04-21; 01:08:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 69°; 250°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 01:09:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 69°; 250°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 01:10:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 69°; 248°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 01:11:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 69°; 250°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 01:12:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 69°; 250°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 01:13:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 69°; 250°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2025-04-21; 01:14:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 68°; 250°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 01:15:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 68°; 250°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 01:16:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 68°; 250°; 80%; 0%; 0%; 0%; 83.3%; 408°; 72°; 71°; 0%; 8°; 0°; 28°; 0°; 32°; 127°; 127°; 11191; 17159h; 37°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
